id,delivery_file,master_file,cefr,topic,subtype,roles,line_count,target_seconds,record_status
listening_b2_0064,listening_b2_0064.m4a,listening_b2_0064.wav,B2,environnement,interview_excerpt,m1|m2,4,43,awaiting_recording
listening_c1_0017,listening_c1_0017.m4a,listening_c1_0017.wav,C1,environnement,argumentation,narrator|f1|m1,4,53,awaiting_recording
listening_c1_0018,listening_c1_0018.m4a,listening_c1_0018.wav,C1,travail,argumentation,narrator|m1|f1,4,40,awaiting_recording
listening_c1_0019,listening_c1_0019.m4a,listening_c1_0019.wav,C1,medias,argumentation,narrator|f1,4,39,awaiting_recording
listening_c1_0020,listening_c1_0020.m4a,listening_c1_0020.wav,C1,logement,argumentation,m2|f1,5,41,awaiting_recording
listening_c1_0021,listening_c1_0021.m4a,listening_c1_0021.wav,C1,sante,argumentation,narrator|elder_f,4,42,awaiting_recording
listening_c1_0022,listening_c1_0022.m4a,listening_c1_0022.wav,C1,immigration,argumentation,m1,3,40,awaiting_recording
listening_c1_0023,listening_c1_0023.m4a,listening_c1_0023.wav,C1,environnement,argumentation,narrator|m1|f1|m2,5,40,awaiting_recording
listening_c1_0024,listening_c1_0024.m4a,listening_c1_0024.wav,C1,travail,argumentation,narrator|m1|f1,5,38,awaiting_recording
listening_c1_0025,listening_c1_0025.m4a,listening_c1_0025.wav,C1,medias,argumentation,narrator|f2|elder_m,5,47,awaiting_recording
listening_c1_0026,listening_c1_0026.m4a,listening_c1_0026.wav,C1,immigration,argumentation,narrator|m2|f1,5,39,awaiting_recording
listening_c1_0027,listening_c1_0027.m4a,listening_c1_0027.wav,C1,sante,argumentation,narrator|f2|m2,5,42,awaiting_recording
listening_c1_0028,listening_c1_0028.m4a,listening_c1_0028.wav,C1,culture,argumentation,narrator|m1|f1,5,41,awaiting_recording
listening_c1_0029,listening_c1_0029.m4a,listening_c1_0029.wav,C1,environnement,argumentation,narrator|f1|m1,4,46,awaiting_recording
listening_c1_0030,listening_c1_0030.m4a,listening_c1_0030.wav,C1,technologie,argumentation,narrator|m2,4,40,awaiting_recording
listening_c1_0031,listening_c1_0031.m4a,listening_c1_0031.wav,C1,immigration,argumentation,narrator|m1,4,41,awaiting_recording
listening_c1_0032,listening_c1_0032.m4a,listening_c1_0032.wav,C1,societe,argumentation,narrator|f2|m2,4,42,awaiting_recording
listening_c1_0033,listening_c1_0033.m4a,listening_c1_0033.wav,C1,logement,argumentation,narrator|f1|elder_f,4,40,awaiting_recording
